,batting_team,bowling_team,wicket_fallen,score,target,runs_prev_5,wick_prev_5,balls_left,venue,req
788,MI,KKR,5,125,178,38.0,2.0,20,Wankhede Stadium,53
59024,KKR,KXIP,1,10,199,38.45717232572607,1.3591565436626174,114,M Chinnaswamy Stadium,189
50525,KXIP,DC,1,41,120,38.45717232572607,1.3591565436626174,99,Feroz Shah Kotla,79
41092,PWI,RCB,4,80,173,41.0,1.0,59,Subrata Roy Sahara Stadium,93
66154,MI,KKR,3,174,187,60.0,0.0,11,Eden Gardens,13
21514,MI,KKR,1,96,155,31.0,0.0,47,Others,59
42611,PWI,KKR,3,61,136,23.0,2.0,59,Subrata Roy Sahara Stadium,75
74993,CSK,RCB,3,64,213,41.0,2.0,75,M Chinnaswamy Stadium,149
56243,MI,SRH,1,16,157,38.45717232572607,1.3591565436626174,97,"Rajiv Gandhi International Stadium, Uppal",141
56590,KXIP,SRH,1,11,205,38.45717232572607,1.3591565436626174,112,"Rajiv Gandhi International Stadium, Uppal",194
45882,MI,RR,1,6,179,38.45717232572607,1.3591565436626174,108,Sawai Mansingh Stadium,173
86094,CSK,DC,2,128,155,41.0,1.0,27,Others,27
31630,KKR,KTK,2,88,156,32.0,2.0,42,Others,68
40979,CSK,RR,2,53,126,19.0,1.0,59,Sawai Mansingh Stadium,73
84560,RR,SRH,2,99,169,31.0,2.0,49,Sawai Mansingh Stadium,70
10173,HDC,KKR,0,0,204,38.45717232572607,1.3591565436626174,118,"Rajiv Gandhi International Stadium, Uppal",204
50493,RR,CSK,4,131,141,72.0,0.0,27,Sawai Mansingh Stadium,10
23844,MI,CSK,0,37,165,38.45717232572607,1.3591565436626174,92,"MA Chidambaram Stadium, Chepauk",128
28581,KTK,CSK,1,90,131,45.0,0.0,58,Others,41
51491,DC,PWI,2,47,172,35.0,2.0,84,Subrata Roy Sahara Stadium,125
18835,KKR,RR,6,65,101,27.0,1.0,32,Others,36
21474,MI,KKR,0,52,155,40.0,0.0,86,Others,103
16823,CSK,RR,0,2,140,38.45717232572607,1.3591565436626174,118,Others,138
78918,RR,KKR,0,20,179,38.45717232572607,1.3591565436626174,105,Eden Gardens,159
15348,KXIP,RCB,0,32,145,31.0,0.0,87,Others,113
5319,KKR,KXIP,1,64,167,39.0,1.0,77,"Punjab Cricket Association Stadium, Mohali",103
52809,DC,KKR,1,20,166,38.45717232572607,1.3591565436626174,107,Others,146
14053,MI,HDC,1,83,168,41.0,0.0,61,Others,85
1966,KKR,DC,3,32,168,38.45717232572607,1.3591565436626174,94,Feroz Shah Kotla,136
1291,MI,RCB,5,65,142,34.0,1.0,47,M Chinnaswamy Stadium,77
81876,KXIP,SRH,3,141,158,36.0,2.0,7,Others,17
61750,RCB,RR,0,9,130,38.45717232572607,1.3591565436626174,111,Others,121
53933,DC,MI,0,6,125,38.45717232572607,1.3591565436626174,114,Others,119
69169,KXIP,KKR,3,47,164,35.0,2.0,74,Eden Gardens,117
35544,KXIP,PWI,2,40,166,29.0,0.0,67,Subrata Roy Sahara Stadium,126
6310,MI,RPS,8,115,162,31.0,3.0,15,Wankhede Stadium,47
6480,RPS,MI,1,27,129,38.45717232572607,1.3591565436626174,91,"Rajiv Gandhi International Stadium, Uppal",102
27897,KKR,RR,1,90,159,46.0,0.0,60,Sawai Mansingh Stadium,69
53596,DC,SRH,4,136,184,37.0,3.0,18,Others,48
30276,RR,MI,0,7,94,38.45717232572607,1.3591565436626174,109,Sawai Mansingh Stadium,87
7853,CSK,KKR,0,30,147,38.45717232572607,1.3591565436626174,94,"MA Chidambaram Stadium, Chepauk",117
7761,RR,RCB,2,52,135,34.0,1.0,79,M Chinnaswamy Stadium,83
65350,RR,RCB,5,92,180,28.0,2.0,32,Maharashtra Cricket Association Stadium,88
35451,KKR,RR,6,80,164,32.0,2.0,38,Sawai Mansingh Stadium,84
80174,SRH,RR,2,127,203,52.0,2.0,53,"Rajiv Gandhi International Stadium, Uppal",76
82016,MI,KXIP,1,33,204,38.45717232572607,1.3591565436626174,94,Wankhede Stadium,171
58636,MI,RR,4,163,189,76.0,1.0,46,Wankhede Stadium,26
69743,MI,SRH,2,27,177,38.45717232572607,1.3591565436626174,100,Others,150
